adsh,cik,name,countryba,stprba,cityba,accepted,form,period,fy,fp,Accounts Payable (Current),Accounts Receivable (Current),Accrued Liabilities (Current),Additional Paid-in Capital,Amortization of Intangibles,Cash From Ops,Net Income,Revenue,Share-based Compensation Expense,Shareholder Equity,Total Assets,ROE,ROA,ROI,Current Ratio,Debt to Equity,Profit Margin,Asset Turnover,Risk Flag,Risk Category
0000002969-21-000012,2969,AIR PRODUCTS & CHEMICALS INC /DE/,US,PA,ALLENTOWN,2021-02-04 11:43:00.0,10-Q,20201231.0,2021.0,Q1,,1419700000.0,,1083000000.0,,667000000.0,482000000.0,2375200000.0,9500000.0,12683600000.0,26088100000.0,0.038001829133684446,0.01847585680827657,,,1.056837175565297,0.20293027955540585,0.09104534251248654,True,High Risk
0000003499-21-000005,3499,ALEXANDERS INC,US,NJ,PARAMUS,2021-02-16 08:14:00.0,10-K,20201231.0,2020.0,FY,,,,,,73538000.0,41939000.0,199142000.0,,343955000.0,1265511000.0,0.12193164803535346,0.03313997270667738,,,2.679292349289878,0.21059846742525434,0.15736093957302624,True,High Risk
0000003570-21-000039,3570,CHENIERE ENERGY INC,US,TX,HOUSTON,2021-02-23 19:38:00.0,10-K,20201231.0,2020.0,FY,35000000.0,482000000.0,1175000000.0,,,1265000000.0,-85000000.0,9358000000.0,110000000.0,-191000000.0,35697000000.0,0.44502617801047123,-0.0023811524777992547,-0.002383489428523358,13.771428571428572,-187.89528795811518,-0.00908313742252618,0.26215088102641676,True,High Risk
0000004281-21-000049,4281,HOWMET AEROSPACE INC.,US,PA,PITTSBURGH,2021-02-16 16:44:00.0,10-K,20201231.0,2020.0,FY,976000000.0,328000000.0,,,40000000.0,217000000.0,261000000.0,,,3577000000.0,9535000000.0,0.07296617277047805,0.02737283691662297,0.030494216614090432,0.3360655737704918,1.6656415991053957,,,True,High Risk
0000004457-21-000019,4457,AMERCO /NV/,US,NV,RENO,2021-02-03 16:02:00.0,10-Q,20201231.0,2021.0,Q3,,,,,,952981000.0,537076000.0,1169982000.0,,4757155000.0,14447305000.0,0.11289857067932409,0.03717482257071474,,,2.0369632690126767,0.45904637849129304,0.08098271615363557,True,High Risk
0000004904-21-000010,4904,AMERICAN ELECTRIC POWER CO INC,US,OH,COLUMBUS,2021-02-25 08:28:00.0,10-K,20201231.0,2020.0,FY,1709700000.0,1842700000.0,,,,3832900000.0,,14918500000.0,53800000.0,20550900000.0,80757200000.0,,,,1.0777914253962684,2.9296186541708638,,0.18473275447885762,True,High Risk
0000004962-21-000013,4962,AMERICAN EXPRESS CO,US,NY,NEW YORK,2021-02-12 14:27:00.0,10-K,20201231.0,2020.0,FY,,,,,54000000.0,8930000000.0,257000000.0,,247000000.0,18261000000.0,191000000000.0,0.014073708997316687,0.0013455497382198953,,,9.459449099173101,,,True,High Risk
0000004969-21-000009,4969,AMERICAN EXPRESS CREDIT CORP,US,NY,NEW YORK,2021-02-25 12:21:00.0,10-K,20201231.0,2020.0,FY,,,,,,941000000.0,201000000.0,830000000.0,,1871000000.0,24308000000.0,0.10742918225547836,0.008268882672371235,,,11.991982896846606,0.2421686746987952,0.034145137403324005,True,High Risk
0000004977-21-000047,4977,AFLAC INC,US,GA,COLUMBUS,2021-02-23 17:13:00.0,10-K,20201231.0,2020.0,FY,,,,2410000000.0,,6014000000.0,4778000000.0,22147000000.0,,33559000000.0,165086000000.0,0.14237611371018208,0.028942490580667047,,,3.91927649810781,0.21574028085067956,0.13415431956677126,True,High Risk
0000005513-21-000015,5513,UNUM GROUP,US,TN,CHATTANOOGA,2021-02-17 13:17:00.0,10-K,20201231.0,2020.0,FY,,,,2376200000.0,,597500000.0,793000000.0,4273500000.0,5600000.0,10871000000.0,70625800000.0,0.07294637107901757,0.011228191397477976,,,5.4967160334835805,0.18556218556218557,0.06050904910103673,True,High Risk
