adsh,cik,name,countryba,stprba,cityba,accepted,form,period,fy,fp,Accounts Payable (Current),Accounts Receivable (Current),Accrued Liabilities (Current),Accumulated Depreciation/Amortization,Additional Paid-in Capital,Amortization of Intangibles,Cash From Ops,Net Income,Revenue,Share-based Compensation Expense,Shareholder Equity,Total Assets,ROE,ROA,ROI,Current Ratio,Debt to Equity,Profit Margin,Asset Turnover,Risk Flag,Risk Category
0000002488-22-000016,2488,ADVANCED MICRO DEVICES INC,US,CA,SANTA CLARA,2022-02-03 17:23:00.0,10-K,20211231.0,2021.0,FY,468000000.0,2066000000.0,2424000000.0,,11069000000.0,,3521000000.0,2490000000.0,,197000000.0,9963000000.0,12419000000.0,0.24992472146943692,0.20049923504307915,0.20835076562630742,4.414529914529915,0.24651209475057714,,,True,High Risk
0000002969-22-000010,2969,AIR PRODUCTS & CHEMICALS INC /DE/,US,PA,ALLENTOWN,2022-02-04 10:32:00.0,10-Q,20211231.0,2022.0,Q1,,1693800000.0,,,1112000000.0,,774700000.0,560400000.0,0.0,16800000.0,13539700000.0,800600000.0,0.04138939562914983,0.699975018735948,,,-0.940870181761782,,0.0,True,High Risk
0000003499-22-000004,3499,ALEXANDERS INC,US,NJ,PARAMUS,2022-02-14 08:19:00.0,10-K,20211231.0,2021.0,FY,,,,,,,78066000.0,41939000.0,226350000.0,,285092000.0,1391965000.0,0.14710689882564223,0.030129349516690433,,,3.8825116102872057,0.18528385244091009,0.16261184728064285,True,High Risk
0000003570-22-000024,3570,CHENIERE ENERGY INC,US,TX,HOUSTON,2022-02-23 21:37:00.0,10-K,20211231.0,2021.0,FY,155000000.0,482000000.0,1077000000.0,,,,-232000000.0,0.0,9358000000.0,131000000.0,-191000000.0,35697000000.0,-0.0,0.0,0.0,3.109677419354839,-187.89528795811518,0.0,0.26215088102641676,False,Low Risk
0000004127-22-000010,4127,SKYWORKS SOLUTIONS INC,US,CA,IRVINE,2022-02-03 21:04:00.0,10-Q,20211231.0,2021.0,Q3,279400000.0,,,,79600000.0,8000000.0,581700000.0,399900000.0,110000000.0,18800000.0,5493200000.0,8618500000.0,0.07279909706546275,0.046400185647154375,0.047954815267834655,,0.5689397800917498,3.6354545454545453,0.012763241863433313,True,High Risk
0000004281-22-000004,4281,HOWMET AEROSPACE INC.,US,PA,PITTSBURGH,2022-02-14 16:37:00.0,10-K,20211231.0,2021.0,FY,599000000.0,328000000.0,,,,36000000.0,461000000.0,261000000.0,,,3577000000.0,4663000000.0,0.07296617277047805,0.05597254986060476,0.06422244094488189,0.5475792988313857,0.3036063740564719,,,True,High Risk
0000004457-22-000011,4457,AMERCO /NV/,US,NV,RENO,2022-02-09 16:10:00.0,10-Q,20211231.0,2022.0,Q3,,,,,,,1376553000.0,537076000.0,82815000.0,,-737571000.0,16588078000.0,-0.7281685424182892,0.032377228995426714,,,-23.4901439996963,6.485250256596028,0.004992440956691909,True,High Risk
0000004904-22-000024,4904,AMERICAN ELECTRIC POWER CO INC,US,OH,COLUMBUS,2022-02-24 07:46:00.0,10-K,20211231.0,2021.0,FY,212000000.0,77100000.0,,,,,823400000.0,,0.0,57900000.0,22433200000.0,4389500000.0,,,,0.36367924528301887,-0.8043301891838882,,0.0,True,High Risk
0000004962-22-000008,4962,AMERICAN EXPRESS CO,US,NY,NEW YORK,2022-02-11 15:42:00.0,10-K,20211231.0,2021.0,FY,,,,,,54000000.0,7173000000.0,3135000000.0,,247000000.0,22177000000.0,53000000000.0,0.14136267303963565,0.05915094339622642,,,1.3898633719619427,,,True,High Risk
0000004977-22-000058,4977,AFLAC INC,US,GA,COLUMBUS,2022-02-23 17:18:00.0,10-K,20211231.0,2021.0,FY,,,,,2410000000.0,,5051000000.0,24000000.0,22147000000.0,,0.0,41945000000.0,,0.0005721778519489808,,,,0.0010836682169142547,0.5280009536297533,True,High Risk
0000005513-22-000030,5513,UNUM GROUP,US,TN,CHATTANOOGA,2022-02-25 16:22:00.0,10-K,20211231.0,2021.0,FY,,,,,2376200000.0,,1606600000.0,-64400000.0,1026300000.0,600000.0,-18900000.0,4206200000.0,3.4074074074074074,-0.015310731776900765,,,-223.55026455026456,-0.06274968332846147,0.2439969568731872,True,High Risk
0000006201-22-000026,6201,AMERICAN AIRLINES GROUP INC.,US,TX,FORT WORTH,2022-02-22 08:03:00.0,10-K,20211231.0,2021.0,FY,1772000000.0,,,,6894000000.0,41000000.0,3190000000.0,1972000000.0,,91000000.0,-7194000000.0,69215000000.0,-0.2741173199888796,0.028490934046088275,0.029239505953175274,,-10.621212121212121,,,True,High Risk
0000006281-22-000020,6281,ANALOG DEVICES INC,US,MA,WILMINGTON,2022-02-16 07:12:00.0,10-Q,20220131.0,2022.0,Q1,443434000.0,1459056000.0,1385259000.0,,30093961000.0,504645000.0,427941000.0,2938000.0,,,7395578000.0,51215614000.0,0.000397264419359785,5.736531831874553e-05,5.786633546166424e-05,3.2903566257887307,5.925167174222218,,,True,High Risk
0000006951-22-000011,6951,APPLIED MATERIALS INC /DE,US,CA,SANTA CLARA,2022-02-24 16:02:00.0,10-Q,20220131.0,2022.0,Q1,1502000000.0,4405000000.0,,,8247000000.0,12000000.0,2658000000.0,1130000000.0,,18000000.0,11473000000.0,25428000000.0,0.09849211191493071,0.04443920088091867,0.04722895594750481,2.932756324900133,1.2163340015689008,,,True,High Risk
0000007084-22-000008,7084,ARCHER-DANIELS-MIDLAND CO,US,IL,CHICAGO,2022-02-17 07:17:00.0,10-K,20211231.0,2021.0,FY,6388000000.0,3311000000.0,931000000.0,,,173000000.0,-5452000000.0,1772000000.0,31705000000.0,161000000.0,,25976000000.0,,0.06821681552202033,0.09046354911170104,0.5183155917345021,,0.055890238132786624,1.2205497382198953,True,High Risk
0000007789-22-000007,7789,ASSOCIATED BANC-CORP,US,WI,GREEN BAY,2022-02-08 16:20:00.0,10-K,20211231.0,2021.0,FY,,,,,1720329000.0,10192000.0,574260000.0,326790000.0,476978000.0,1000000.0,-33183000.0,4323605000.0,-9.848114998643885,0.07558276021977031,,,-131.29578398577584,0.6851259387225407,0.11031951346156738,True,High Risk
0000009984-22-000047,9984,BARNES GROUP INC,US,CT,BRISTOL,2022-02-22 12:52:00.0,10-K,20211231.0,2021.0,FY,112428000.0,,175583000.0,,501531000.0,41066000.0,248301000.0,-12787000.0,,11470000.0,643000.0,704300000.0,-19.88646967340591,-0.018155615504756497,-0.021604333369377164,,1094.334370139969,,,True,High Risk
0000010048-22-000006,10048,BARNWELL INDUSTRIES INC,US,HI,HONOLULU,2022-02-11 16:30:00.0,10-Q,20211231.0,2022.0,Q1,3000.0,2990000.0,,,4846000.0,,909000.0,584000.0,0.0,,9499000.0,1419000.0,0.0614801558058743,0.41155743481324875,0.4124293785310734,996.6666666666666,-0.8506158543004527,,0.0,True,High Risk
0000010795-22-000017,10795,BECTON DICKINSON & CO,US,NJ,FRANKLIN LAKES,2022-02-03 11:38:00.0,10-Q,20211231.0,2022.0,Q1,,2497000000.0,,,19435000000.0,355000000.0,1533000000.0,1003000000.0,192000000.0,,23000000.0,53363000000.0,43.608695652173914,0.01879579483912074,,,2319.1304347826085,5.223958333333333,0.003597998613271368,True,High Risk
0000011544-22-000007,11544,BERKLEY W R CORP,US,CT,GREENWICH,2022-02-24 16:51:00.0,10-K,20211231.0,2021.0,FY,,,,,1016372000.0,,292631000.0,-242055000.0,692000000.0,,6653011000.0,4916894000.0,-0.036382774656467574,-0.049229249196749,,,-0.2609520711749913,-0.34979046242774564,0.14073925531036463,True,High Risk
0000012208-22-000011,12208,"BIO-RAD LABORATORIES, INC.",US,CA,HERCULES,2022-02-11 16:36:00.0,10-K,20211231.0,2021.0,FY,141941000.0,419424000.0,,,,23500000.0,575328000.0,3806267000.0,,2900000.0,13507241000.0,16800000.0,0.2817945574525545,226.5635119047619,-30.415826947203556,2.9549178884184273,-0.9987562226808568,,,True,High Risk
0000014272-22-000051,14272,BRISTOL MYERS SQUIBB CO,US,NY,NEW YORK,2022-02-09 11:45:00.0,10-K,20211231.0,2021.0,FY,2949000000.0,7219000000.0,,,,1300000000.0,16207000000.0,6994000000.0,615000000.0,71000000.0,-1520000000.0,118481000000.0,-4.601315789473684,0.05903056186223952,0.06053734030398504,2.4479484571041032,-78.94802631578948,11.372357723577236,0.005190705682767701,True,High Risk
0000014930-22-000041,14930,BRUNSWICK CORP,US,IL,METTAWA,2022-02-16 15:45:00.0,10-K,20211231.0,2021.0,FY,457600000.0,,711300000.0,,383800000.0,31600000.0,574000000.0,593300000.0,5846200000.0,16300000.0,76900000.0,609900000.0,7.715214564369311,0.9727824233480898,3.895600787918582,,6.931079323797139,0.10148472512059116,9.585505820626333,True,High Risk
0000016868-22-000012,16868,CANADIAN NATIONAL RAILWAY CO,CA,QC,CANADA,2022-02-01 16:08:00.0,6-K,20211231.0,2021.0,FY,,1074000000.0,,,,,5923000000.0,4892000000.0,,20000000.0,-3483000000.0,44804000000.0,-1.4045363192650013,0.10918667976073565,,,-13.863623313235717,,,True,High Risk
0000016875-22-000010,16875,CANADIAN PACIFIC RAILWAY LTD/CN,CA,AB,CALGARY ALBERTA,2022-02-23 12:44:00.0,10-K,20211231.0,2021.0,FY,,825000000.0,294000000.0,,55000000.0,3000000.0,2802000000.0,2440000000.0,2003000000.0,89000000.0,33829000000.0,23640000000.0,0.07212746460137752,0.10321489001692047,,,-0.3011912855833752,1.218172740888667,0.08472927241962774,True,High Risk
0000017843-22-000005,17843,CARPENTER TECHNOLOGY CORP,US,PA,PHILADELPHIA,2022-02-02 16:24:00.0,10-Q,20211231.0,2022.0,Q2,170300000.0,307000000.0,163900000.0,,315900000.0,,171600000.0,-132000000.0,,,-192300000.0,2879900000.0,0.6864274570982839,-0.0458349248237786,-0.048715677590788306,1.802701115678215,-15.976079043161727,,,True,High Risk
0000018230-22-000050,18230,CATERPILLAR INC,US,IL,DEERFIELD,2022-02-16 10:51:00.0,10-K,20211231.0,2021.0,FY,8154000000.0,7317000000.0,3642000000.0,,,311000000.0,6327000000.0,,500000000.0,202000000.0,,4259000000.0,,,,0.8973509933774835,,,0.11739845034045551,True,High Risk
0000018349-22-000076,18349,SYNOVUS FINANCIAL CORP,US,GA,COLUMBUS,2022-02-25 17:01:00.0,10-K,20211231.0,2021.0,FY,,,,,,11600000.0,422203000.0,760467000.0,71760000.0,0.0,3894109000.0,5974909000.0,0.19528652125556833,0.12727675015636222,,,0.5343455974139398,10.597366220735786,0.012010224758234812,True,High Risk
0000018926-22-000007,18926,"LUMEN TECHNOLOGIES, INC.",US,LA,MONROE,2022-02-24 16:36:00.0,10-K,20211231.0,2021.0,FY,758000000.0,1544000000.0,,,,22000000.0,6501000000.0,-5269000000.0,20712000000.0,175000000.0,-2680000000.0,57993000000.0,1.966044776119403,-0.0908557929405273,-0.09205905477417664,2.0369393139841687,-22.639179104477613,-0.25439358825801467,0.3571465521700895,True,High Risk
0000019617-22-000272,19617,JPMORGAN CHASE & CO,US,NY,NEW YORK,2022-02-22 16:57:00.0,10-K,20211231.0,2021.0,FY,,,,,88394000000.0,,29387000000.0,7380000000.0,115720000000.0,,-112000000.0,391369000000.0,-65.89285714285714,0.018856884423651337,,,-3495.3660714285716,0.06377462841341168,0.2956800359762781,True,High Risk
0000020212-22-000056,20212,CHURCHILL DOWNS INC,US,KY,LOUISVILLE,2022-02-23 16:26:00.0,10-K,20211231.0,2021.0,FY,,42300000.0,,,,4900000.0,,249100000.0,687300000.0,,,2686400000.0,,0.0927263251935676,,,,0.36243270769678454,0.25584425253126863,True,High Risk
0000020286-22-000012,20286,CINCINNATI FINANCIAL CORP,US,OH,FAIRFIELD,2022-02-24 12:23:00.0,10-K,20211231.0,2021.0,FY,,,,,1328000000.0,,1491000000.0,1997000000.0,652000000.0,,22000000.0,895000000.0,90.77272727272727,2.2312849162011172,,,39.68181818181818,3.062883435582822,0.7284916201117319,True,High Risk
0000020520-22-000004,20520,"FRONTIER COMMUNICATIONS PARENT, INC.",US,CT,NORWALK,2022-02-25 16:03:00.0,10-K,20211231.0,2021.0,FY,518000000.0,553000000.0,,,4124000000.0,343000000.0,1451000000.0,414000000.0,2231000000.0,12000000.0,-4766000000.0,16481000000.0,-0.0868652958455728,0.025119834961470786,0.02593497462882917,1.0675675675675675,-4.458036088963492,0.18556701030927836,0.13536799951459255,True,High Risk
0000021076-22-000007,21076,CLOROX CO /DE/,US,CA,OAKLAND,2022-02-03 16:46:00.0,10-Q,20211231.0,2022.0,Q2,,604000000.0,,,1180000000.0,,222000000.0,211000000.0,,,-403000000.0,6190000000.0,-0.5235732009925558,0.03408723747980614,,,-16.359801488833746,,,True,High Risk
0000021175-22-000016,21175,CNA FINANCIAL CORP,US,IL,CHICAGO,2022-02-08 15:16:00.0,10-K,20211231.0,2021.0,FY,,,,,2211000000.0,,980000000.0,690000000.0,1120000000.0,32000000.0,9348000000.0,66639000000.0,0.07381258023106547,0.010354297033268806,,,6.128690629011554,0.6160714285714286,0.01680697489458125,True,High Risk
0000021344-22-000009,21344,COCA COLA CO,US,GA,ATLANTA,2022-02-22 15:46:00.0,10-K,20211231.0,2021.0,FY,,3144000000.0,,,17601000000.0,203000000.0,10471000000.0,8920000000.0,-1248000000.0,201000000.0,18981000000.0,103056000000.0,0.4699436278383647,0.08655488278217668,,,4.42942942942943,-7.147435897435898,-0.012109920819748486,True,High Risk
0000021510-22-000011,21510,COHERENT INC,US,CA,SANTA CLARA,2022-02-09 16:10:00.0,10-Q,20211231.0,2022.0,Q1,100424000.0,249389000.0,,,,1400000.0,74931000.0,30265000.0,148525000.0,29613000.0,868185000.0,1888930000.0,0.03486008166462217,0.01602229833821264,0.016921944908208305,2.4833605512626464,1.1757229161987364,0.20377040902205015,0.07862917101216033,False,Low Risk
0000021665-22-000003,21665,COLGATE PALMOLIVE CO,US,NY,NEW YORK,2022-02-17 16:18:00.0,10-K,20211231.0,2021.0,FY,1393000000.0,1297000000.0,,,,88000000.0,3325000000.0,2166000000.0,,107000000.0,609000000.0,13619000000.0,3.5566502463054186,0.1590425141346648,0.17716342221495174,0.9310839913854989,21.362889983579638,,,True,High Risk
0000022356-22-000014,22356,COMMERCE BANCSHARES INC /MO/,US,MO,KANSAS CITY,2022-02-23 16:44:00.0,10-K,20211231.0,2021.0,FY,,,,,,1500000.0,512794000.0,421231000.0,,13900000.0,3437298000.0,3485083000.0,0.122547128587629,0.12086684879527977,,,0.01390190783574773,,,True,High Risk
0000023194-22-000011,23194,COMSTOCK RESOURCES INC,US,TX,FRISCO,2022-02-17 15:41:00.0,10-K,20211231.0,2021.0,FY,259284000.0,125000000.0,133019000.0,,,,575701000.0,-241725000.0,,3217000.0,1095384000.0,4623983000.0,-0.22067603689664994,-0.05227636001256925,-0.05538182587161222,0.4820968513290446,3.2213351664804306,,,True,High Risk
0000024545-22-000005,24545,MOLSON COORS BEVERAGE CO,US,CO,GOLDEN,2022-02-23 11:16:00.0,10-K,20211231.0,2021.0,FY,1732700000.0,662700000.0,,,,221200000.0,1573500000.0,-949000000.0,,24200000.0,13417100000.0,3955500000.0,-0.07073063478695098,-0.23991909998735939,-0.42693899586107614,0.38246667051422634,-0.705189646048699,,,True,High Risk
0000025232-22-000005,25232,COUSINS PROPERTIES INC,US,GA,ATLANTA,2022-02-03 16:43:00.0,10-K,20211231.0,2021.0,FY,,,,,5542762000.0,43100000.0,351088000.0,0.0,199000000.0,690000.0,0.0,590853000.0,,0.0,,,,0.0,0.33680120097553873,True,High Risk
0000026172-22-000008,26172,CUMMINS INC,US,IN,COLUMBUS,2022-02-08 10:23:00.0,10-K,20211231.0,2021.0,FY,3021000000.0,,1190000000.0,,,165000000.0,3181000000.0,,0.0,1000000.0,8062000000.0,23710000000.0,,,,,1.9409575787645745,,0.0,True,High Risk
0000026324-22-000004,26324,CURTISS WRIGHT CORP,US,NC,DAVIDSON,2022-02-24 16:24:00.0,10-K,20211231.0,2021.0,FY,211640000.0,,140200000.0,,122535000.0,60000000.0,261180000.0,267159000.0,610413000.0,13669000.0,-562722000.0,235260000.0,-0.4747619606128781,1.1355904106095385,11.310711261642675,,-1.4180749997334385,0.43766925016341396,2.5946314715633765,True,High Risk
0000027904-22-000003,27904,"DELTA AIR LINES, INC.",US,GA,ATLANTA,2022-02-11 16:50:00.0,10-K,20211231.0,2021.0,FY,4240000000.0,,,,11259000000.0,10000000.0,-3793000000.0,-12385000000.0,,149000000.0,-148000000.0,70548000000.0,83.68243243243244,-0.17555423257923683,-0.18677987573143512,,-477.6756756756757,,,True,High Risk
0000027996-22-000078,27996,DELUXE CORP,US,MN,MINNEAPOLIS,2022-02-28 13:56:00.0,10-K,20211231.0,2021.0,FY,153072000.0,197947000.0,177183000.0,,,,286653000.0,8808000.0,23409000.0,,,3074384000.0,,0.00286496416843179,0.003015083633655015,1.293162694679628,,0.3762655388952967,0.00761420824464348,True,High Risk
0000028412-22-000067,28412,COMERICA INC /NEW/,US,TX,DALLAS,2022-02-16 16:53:00.0,10-K,20211231.0,2021.0,FY,,,,,2175000000.0,1000000.0,1250000000.0,,711000000.0,41000000.0,,9912000000.0,,,,,,,0.07173123486682809,True,High Risk
0000029905-22-000009,29905,DOVER CORP,US,IL,DOWNERS GROVE,2022-02-11 16:37:00.0,10-K,20211231.0,2021.0,FY,853942000.0,1347514000.0,,,857636000.0,138947000.0,1115865000.0,683451000.0,15082000.0,,,3201504000.0,,0.2134781027916879,0.2911322469864481,1.5779924163467776,,45.315674313751494,0.0047109108718902115,True,High Risk
0000029915-22-000004,100790,UNION CARBIDE CORP /NEW/,US,TX,HOUSTON,2022-02-04 07:42:00.0,10-K,20211231.0,2021.0,FY,,33000000.0,,,141000000.0,,406000000.0,627000000.0,4377000000.0,,1664000000.0,5375000000.0,0.37680288461538464,0.11665116279069768,,,2.230168269230769,0.14324880054832076,0.8143255813953488,True,High Risk
0000029989-22-000012,29989,OMNICOM GROUP INC.,US,NY,NEW YORK,2022-02-09 06:36:00.0,10-K,20211231.0,2021.0,FY,11897200000.0,8472500000.0,,,747800000.0,83800000.0,1945400000.0,945400000.0,267600000.0,70800000.0,3084400000.0,28421800000.0,0.3065101802619634,0.03326319937512754,0.057211672294639505,0.7121423528225128,8.21469329529244,3.5328849028400597,0.009415307967827512,True,High Risk
0000030625-22-000039,30625,FLOWSERVE CORP,US,TX,IRVING,2022-02-23 16:03:00.0,10-K,20211231.0,2021.0,FY,440199000.0,753462000.0,463222000.0,,506386000.0,13600000.0,310537000.0,56051000.0,3631000.0,23900000.0,1730991000.0,3039069000.0,0.03238087315300888,0.018443477262279993,0.021567450468857618,1.7116395084950216,0.7556815720012409,15.436794271550538,0.0011947737942113194,False,Low Risk
0000032604-22-000009,32604,EMERSON ELECTRIC CO,US,MO,ST LOUIS,2022-02-02 12:56:00.0,10-Q,20211231.0,2022.0,Q1,2100000000.0,2745000000.0,3194000000.0,,,11000000.0,808000000.0,896000000.0,,-64000000.0,10249000000.0,26959000000.0,0.0874231632354376,0.03323565414147409,0.03604328412245062,1.3071428571428572,1.6304029661430384,,,True,High Risk
0000033185-22-000014,33185,EQUIFAX INC,US,GA,ATLANTA,2022-02-24 16:55:00.0,10-K,20211231.0,2021.0,FY,159100000.0,727600000.0,251800000.0,,1470700000.0,140100000.0,1334800000.0,520100000.0,,,3584400000.0,9611800000.0,0.14510099319272401,0.054110572421398696,0.055021316660848224,4.573224387177875,1.6815645575270617,,,True,High Risk
0000033213-22-000007,33213,EQT CORP,US,PA,PITTSBURGH,2022-02-10 16:17:00.0,10-K,20211231.0,2021.0,FY,705461000.0,566552000.0,,,,26006000.0,1537701000.0,-8367000.0,4416484000.0,3376000.0,9255240000.0,18113469000.0,-0.0009040284206568388,-0.0004619214574524626,-0.0004806408636760737,0.8030947139530038,0.9571041917875711,-0.0018944934477290079,0.24382320139781066,True,High Risk
0000034088-22-000011,34088,EXXON MOBIL CORP,US,TX,IRVING,2022-02-23 16:11:00.0,10-K,20211231.0,2021.0,FY,,26883000000.0,,,,,14668000000.0,23040000000.0,264938000000.0,672000000.0,157150000000.0,20220000000.0,0.14661151765828825,1.13946587537092,,,-0.8713331212217627,0.08696374246050019,13.10276953511375,True,High Risk
0000034563-22-000010,34563,FARMER BROTHERS CO,US,TX,NORTHLAKE,2022-02-03 17:53:00.0,10-Q,20211231.0,2022.0,Q2,45703000.0,,,,,600000.0,-3823000.0,-5420000.0,,300000.0,96193000.0,346658000.0,-0.056345056293077456,-0.015635006259771878,-0.018009336944061406,,2.6037757425176467,,,True,High Risk
0000034782-22-000038,34782,1ST SOURCE CORP,US,IN,SOUTH BEND,2022-02-17 17:29:00.0,10-K,20211231.0,2021.0,FY,,,,,,30000.0,166761000.0,92015000.0,48568000.0,0.0,886845000.0,995439000.0,0.10375544768251499,0.09243660334786963,,,0.12244980802733285,1.8945602042497118,0.04879053362385842,True,High Risk
