adsh,cik,name,countryba,stprba,cityba,accepted,form,period,fy,fp,Accounts Payable (Current),Accounts Receivable (Current),Accrued Liabilities (Current),Additional Paid-in Capital,Amortization of Intangibles,Cash From Ops,Net Income,Revenue,Share-based Compensation Expense,Shareholder Equity,Total Assets,ROE,ROA,ROI,Current Ratio,Debt to Equity,Profit Margin,Asset Turnover,Financial Risk Flag,Risk Category
0000002969-24-000010,2969,"AIR PRODUCTS & CHEMICALS, INC.",US,PA,ALLENTOWN,2024-02-05 15:01:00.0,10-Q,20231231.0,2024.0,Q1,,14600000.0,,1190500000.0,,626600000.0,609300000.0,0.0,13600000.0,14312900000.0,2256800000.0,0.04256998931034242,0.26998404820985467,,,-0.8423240573189221,,0.0,True,High Risk
0000003499-24-000007,3499,ALEXANDERS INC,US,NJ,PARAMUS,2024-02-12 08:21:00.0,10-K,20231231.0,2023.0,FY,,,,,,102549000.0,102413000.0,205814000.0,,25586000.0,1403680000.0,4.002696787305558,0.07296036133591702,,,53.86125224732275,0.4975997745537233,0.14662458680041035,True,High Risk
0000003545-24-000034,3545,"ALICO, INC.",US,FL,"FT. MYERS,",2024-02-07 16:54:00.0,10-Q,20231231.0,2024.0,Q1,7041000.0,7134000.0,3633000.0,20045000.0,,-9665000.0,-3150000.0,10875000.0,18000.0,287749000.0,415030000.0,-0.010947040650010948,-0.0075898127846179796,-0.007720796394020427,1.0132083510864933,0.4423334225314423,-0.2896551724137931,0.026202925089752548,True,High Risk
0000003570-24-000040,3570,CHENIERE ENERGY INC,US,TX,HOUSTON,2024-02-21 17:35:00.0,10-K,20231231.0,2023.0,FY,124000000.0,917000000.0,1780000000.0,,,10523000000.0,9881000000.0,2109000000.0,205000000.0,-2969000000.0,18905000000.0,-3.3280565847086563,0.5226659613858767,0.5261168201906182,7.395161290322581,-7.367463792522735,4.68515884305358,0.11155778894472362,True,High Risk
0000004281-24-000007,4281,HOWMET AEROSPACE INC.,US,PA,PITTSBURGH,2024-02-13 17:05:00.0,10-K,20231231.0,2023.0,FY,982000000.0,506000000.0,,,36000000.0,449000000.0,258000000.0,,,-1841000000.0,4784000000.0,-0.14014122759369907,0.053929765886287624,0.067859021567596,0.515274949083503,-3.5985877240630093,,,True,High Risk
0000004904-24-000020,4904,AMERICAN ELECTRIC POWER CO INC,US,OH,COLUMBUS,2024-02-26 16:44:00.0,10-K,20231231.0,2023.0,FY,56700000.0,278500000.0,,,,575600000.0,,6100000.0,50900000.0,25246700000.0,4520100000.0,,,,4.911816578483245,-0.8209627396847905,,0.001349527665317139,True,High Risk
0000004962-24-000013,4962,AMERICAN EXPRESS CO,US,NY,NEW YORK,2024-02-09 14:08:00.0,10-K,20231231.0,2023.0,FY,,,,,57000000.0,21079000000.0,8374000000.0,,326000000.0,28057000000.0,19000000000.0,0.2984638414655879,0.44073684210526315,,,-0.32280714260255905,,,True,High Risk
0000004977-24-000053,4977,AFLAC INC,US,GA,COLUMBUS,2024-02-22 14:34:00.0,10-K,20231231.0,2023.0,FY,,,,2771000000.0,,2354000000.0,-9000000.0,279000000.0,,33559000000.0,28551000000.0,-0.0002681843916684049,-0.00031522538615109805,,,-0.14922971483059685,-0.03225806451612903,0.009771986970684038,True,High Risk
0000005272-24-000023,5272,"AMERICAN INTERNATIONAL GROUP, INC.",US,NY,NEW YORK,2024-02-14 15:48:00.0,10-K,20231231.0,2023.0,FY,703000000.0,,,79915000000.0,,191000000.0,-1212000000.0,37324000000.0,288000000.0,40970000000.0,9125000000.0,-0.029582621430314864,-0.13282191780821917,-0.1439088102588459,,-0.777276055650476,-0.032472403815239526,4.090301369863013,True,High Risk
0000005513-24-000015,5513,UNUM GROUP,US,TN,CHATTANOOGA,2024-02-20 16:50:00.0,10-K,20231231.0,2023.0,FY,,,,1547800000.0,,1548000000.0,1314200000.0,12007800000.0,52700000.0,2408100000.0,4218000000.0,0.5457414559196047,0.31156946420104314,,,0.7515883891864956,0.10944552707406852,2.8467994310099574,True,High Risk
0000006201-24-000010,6201,AMERICAN AIRLINES GROUP INC.,US,TX,FORT WORTH,2024-02-21 08:00:00.0,10-K,20231231.0,2023.0,FY,2149000000.0,2026000000.0,,17335000000.0,41000000.0,3706000000.0,338000000.0,,95000000.0,-5202000000.0,64716000000.0,-0.06497500961168781,0.0052228197045552874,0.005402208832131955,0.9427640763145649,-13.440599769319492,,,True,High Risk
0000006281-24-000034,6281,ANALOG DEVICES INC,US,MA,WILMINGTON,2024-02-21 07:11:00.0,10-Q,20240131.0,2024.0,Q1,493041000.0,1469734000.0,1352608000.0,25253256000.0,502177000.0,1406305000.0,-370000.0,,,82653000.0,48388464000.0,-0.004476546525836933,-7.646450608558272e-06,-7.725164051688195e-06,2.980956958954732,584.4411092156364,,,True,High Risk
