adsh,cik,name,countryba,stprba,cityba,accepted,form,period,fy,fp,Accounts Payable (Current),Accounts Receivable (Current),Accrued Liabilities (Current),Accumulated Depreciation/Amortization,Additional Paid-in Capital,Amortization of Intangibles,Cash From Ops,Net Income,Revenue,Share-based Compensation Expense,Shareholder Equity,Total Assets,ROE,ROA,ROI,Current Ratio,Debt to Equity,Profit Margin,Asset Turnover,Financial Risk Flag,Risk Category,Risk Flag
0000004962-25-000045,4962,AMERICAN EXPRESS CO,US,NY,NEW YORK,2025-04-18 12:22:00.0,10-Q,20250331.0,2025.0,Q1,,,,,,,5158000000.0,2510500000.0,,,6210722222.222222,105728538461.53847,0.40422030001878473,0.02374477162486513,,,16.023549706222145,,,True,High Risk,1
0000005513-25-000059,5513,UNUM GROUP,US,TN,CHATTANOOGA,2025-04-30 16:33:00.0,10-Q,20250331.0,2025.0,Q1,,,,,1529150000.0,,325950000.0,99980000.0,3145950000.0,,3236547826.0869565,20736516666.666668,0.03089093854697571,0.004821446224896338,,,5.406986017486874,0.031780543238131564,0.15171062963805396,True,High Risk,1
0000006201-25-000023,6201,AMERICAN AIRLINES GROUP INC.,US,TX,FORT WORTH,2025-04-24 07:01:00.0,10-Q,20250331.0,2025.0,Q1,2540833333.3333335,1947250000.0,,,12401000000.0,,2284750000.0,-237000000.0,,,494700000.0,65731500000.0,-0.4790782292298363,-0.003605577234659182,-0.0037505538792648703,0.7663824204657265,131.87143723468768,,,True,High Risk,1
0000006845-25-000049,6845,"APOGEE ENTERPRISES, INC.",US,MN,MINNEAPOLIS,2025-04-24 13:08:00.0,10-K,20250228.0,2024.0,FY,91779500.0,,,,,6000000.0,144004000.0,96257333.33333333,573010933.3333334,4850333.333333333,174153000.0,330522000.0,0.5527170553096032,0.29122821879733674,0.4031847422781169,,0.8978828960741417,0.16798516002719666,1.733654441560118,True,High Risk,1
0000007789-25-000049,7789,ASSOCIATED BANC-CORP,US,WI,GREEN BAY,2025-04-29 16:16:00.0,10-Q,20250331.0,2025.0,Q1,,,,,2043884000.0,2447666.6666666665,126333000.0,54856500.0,,8000000.0,1259626107.142857,28039266750.0,0.04354982775359276,0.001956417066434164,,,21.259991747551165,,,True,High Risk,1
0000008818-25-000012,8818,AVERY DENNISON CORP,US,OH,MENTOR,2025-04-29 16:04:00.0,10-Q,20250331.0,2025.0,Q1,1306650000.0,1492100000.0,,,829150000.0,22250000.0,51750000.0,169350000.0,,,335633333.3333333,8379450000.0,0.504568477505214,0.02021015699121064,0.023943841194435017,1.1419278307121263,23.966084020260208,,,True,High Risk,1
0000008947-25-000046,8947,AZZ INC,US,TX,FORT WORTH,2025-04-21 16:25:00.0,10-K,20250228.0,2024.0,FY,97236000.0,138697500.0,,,260667000.0,16082153.846153846,,59155333.333333336,494119500.0,,172762485.7142857,816998250.0,0.3424084406331379,0.07240570384738687,0.08218732412450547,1.4264007157842775,3.729025787178996,0.11971867803908434,0.6047987250890684,True,High Risk,1
0000012927-25-000031,12927,BOEING CO,US,VA,ARLINGTON,2025-04-23 12:22:00.0,10-Q,20250331.0,2025.0,Q1,11199000000.0,2917500000.0,23839500000.0,,,,-2489000000.0,-190000000.0,6026611111.111111,,-3616500000.0,62571400000.0,0.052536983271118484,-0.003036531066909163,-0.00369848401086965,0.2605143316367533,-18.3016452371077,-0.031526839296084956,0.09631574666878336,True,High Risk,1
0000014272-25-000091,14272,BRISTOL MYERS SQUIBB CO,US,NJ,PRINCETON,2025-04-24 11:46:00.0,10-Q,20250331.0,2025.0,Q1,2736000000.0,9037500000.0,,,,1631500000.0,2394000000.0,-4727500000.0,2617476923.076923,69125000.0,16862000000.0,92515000000.0,-0.28036413236863955,-0.05109982165054316,-0.05265708016351262,3.3031798245614037,4.486597082196655,-1.8061286265105563,0.02829245985058556,True,High Risk,1
0000014707-25-000017,14707,CALERES INC,US,MO,ST LOUIS,2025-04-01 16:19:00.0,10-K,20250131.0,2024.0,FY,,148152500.0,112953000.0,,187385500.0,11738166.666666666,143530666.66666666,153462666.66666666,,9448000.0,579827500.0,794446000.0,0.2646695209638499,0.19316941197597653,,,0.37014198188254266,,,True,High Risk,1
0000014930-25-000053,14930,BRUNSWICK CORP,US,IL,METTAWA,2025-04-30 11:51:00.0,10-Q,20250331.0,2025.0,Q1,442500000.0,,669933333.3333334,,393800000.0,18550000.0,-90400000.0,29400000.0,454416666.6666667,,658458333.3333334,2004822222.2222223,0.04464975004745934,0.014664641918928804,0.018818141086274703,,2.0447214663882383,0.06469833119383825,0.22666182648503053,True,High Risk,1
0000016058-25-000053,16058,CACI INTERNATIONAL INC /DE/,US,VA,RESTON,2025-04-24 15:58:00.0,10-Q,20250331.0,2025.0,Q3,296125000.0,1131801000.0,,,634199000.0,49375000.0,365575000.0,160209750.0,,,3611326500.0,7688089500.0,0.04436313083295016,0.0208386947108251,0.02167350100233842,3.822037990713381,1.1288824203516354,,,True,High Risk,1
0000016918-25-000022,16918,"CONSTELLATION BRANDS, INC.",US,NY,ROCHESTER,2025-04-23 13:26:00.0,10-K,20250228.0,2024.0,FY,1023450000.0,,861550000.0,,,1933333.3333333333,2896366666.6666665,351900000.0,,68100000.0,1337775000.0,23672000000.0,0.2630487189549812,0.01486566407570125,0.015537418510235755,,16.695053353516098,,,True,High Risk,1
0000017843-25-000011,17843,CARPENTER TECHNOLOGY CORP,US,PA,PHILADELPHIA,2025-04-24 16:15:00.0,10-Q,20250331.0,2025.0,Q3,261150000.0,582700000.0,194100000.0,,350150000.0,,143850000.0,51218750.0,,,339250000.0,1330700000.0,0.15097641857037583,0.038490080408807394,0.04788813052218223,2.231284702278384,2.922476050110538,,,True,High Risk,1
