adsh,cik,name,countryba,stprba,cityba,accepted,form,period,fy,fp,Accounts Payable (Current),Accounts Receivable (Current),Accrued Liabilities (Current),Additional Paid-in Capital,Amortization of Intangibles,Cash From Ops,Net Income,Revenue,Share-based Compensation Expense,Shareholder Equity,Total Assets,ROE,ROA,ROI,Current Ratio,Debt to Equity,Profit Margin,Asset Turnover,Risk Flag,Risk Category,Ticker,AvgPrice_2024,AvgPrice_2025,Performance
0000002488-25-000012,2488,ADVANCED MICRO DEVICES INC,US,CA,SANTA CLARA,2025-02-05 16:43:00.0,10-K,20241231.0,2024.0,FY,2055000000.0,4323000000.0,3082000000.0,59676000000.0,2800000000.0,3565000000.0,1320000000.0,,1081000000.0,11069000000.0,67885000000.0,0.1192519649471497,0.0194446490388156,0.0200516481847182,2.103649635036496,5.132893666997922,,,True,High Risk,AMD,157.66448412698412,106.50755102040819,High Risk
0000002969-25-000013,2969,"AIR PRODUCTS & CHEMICALS, INC.",US,PA,ALLENTOWN,2025-02-06 12:04:00.0,10-Q,20241231.0,2025.0,Q1,,1821600000.0,,1253200000.0,,626600000.0,609300000.0,2997400000.0,13600000.0,17036500000.0,39574600000.0,0.035764388225281,0.0153962390017839,,,1.32293017932087,0.2032761726829919,0.0757405002198379,True,High Risk,APD,271.9280158730159,293.6372448979592,Low Risk
0000003499-25-000004,3499,ALEXANDERS INC,US,NJ,PARAMUS,2025-02-10 08:32:00.0,10-K,20241231.0,2024.0,FY,,,,,,102549000.0,57632000.0,205814000.0,,252589000.0,1403680000.0,0.2281651219966032,0.0410577909495041,,,4.5571699480183225,0.2800198237243336,0.1466245868004103,True,High Risk,ALX,221.58813492063493,204.73959183673466,High Risk
0000003545-25-000030,3545,"ALICO, INC.",US,FL,"FT. MYERS,",2025-02-12 16:09:00.0,10-Q,20241231.0,2025.0,Q1,3362000.0,771000.0,5366000.0,20184000.0,,-13169000.0,42945000.0,10875000.0,138000.0,251159000.0,398719000.0,0.1709873028639228,0.1077074330543565,0.1086233454826903,0.2293277810826888,0.5875162745511807,3.9489655172413793,0.0272748476997584,True,High Risk,ALCO,27.341547619047617,29.63938775510204,Low Risk
0000003570-25-000033,3570,CHENIERE ENERGY INC,US,TX,HOUSTON,2025-02-19 17:43:00.0,10-K,20241231.0,2024.0,FY,181000000.0,525000000.0,1780000000.0,,,10523000000.0,1428000000.0,33428000000.0,205000000.0,5060000000.0,43076000000.0,0.2822134387351778,0.0331507103723651,0.0332905933092435,2.9005524861878453,7.51304347826087,0.0427186789517769,0.7760237719379701,True,High Risk,LNG,175.95559523809524,226.30704081632652,Low Risk
0000004127-25-000010,4127,SKYWORKS SOLUTIONS INC,US,CA,IRVINE,2025-02-05 16:33:00.0,10-Q,20241231.0,2025.0,Q1,171800000.0,,,269400000.0,48100000.0,774900000.0,231300000.0,1201500000.0,53300000.0,6082700000.0,8283300000.0,0.0380258766666118,0.0279236536163123,0.0285150711952166,,0.3617801305341378,0.1925093632958801,0.1450508855166419,True,High Risk,SWKS,100.0365873015873,71.20561224489796,High Risk
0000004281-25-000011,4281,HOWMET AEROSPACE INC.,US,PA,PITTSBURGH,2025-02-13 17:35:00.0,10-K,20241231.0,2024.0,FY,982000000.0,675000000.0,,,36000000.0,733000000.0,469000000.0,,,3508000000.0,2661000000.0,0.1336944127708095,0.176249530251785,0.2793329362715902,0.6873727087576375,-0.2414481185860889,,,True,High Risk,HWM,84.5129365079365,132.56479591836734,Low Risk
0000004904-25-000027,4904,AMERICAN ELECTRIC POWER CO INC,US,OH,COLUMBUS,2025-02-13 10:26:00.0,10-K,20241231.0,2024.0,FY,2032500000.0,2447400000.0,,,,5288000000.0,287800000.0,19639500000.0,63300000.0,24400000.0,96684000000.0,11.795081967213116,0.0029767076248396,0.0030406279879346,1.2041328413284134,3961.459016393442,0.0146541408895338,0.2031308179223035,True,High Risk,AEP,90.91150793650793,102.77438775510204,Low Risk
0000004962-25-000016,4962,AMERICAN EXPRESS CO,US,NY,NEW YORK,2025-02-07 14:10:00.0,10-K,20241231.0,2024.0,FY,,,,,51000000.0,21079000000.0,7514000000.0,,373000000.0,22177000000.0,228354000000.0,0.3388194976777742,0.0329050509296968,,,9.296884159264104,,,True,High Risk,AXP,244.29567460317458,285.59948979591843,Low Risk
0000004977-25-000047,4977,AFLAC INC,US,GA,COLUMBUS,2025-02-26 12:26:00.0,10-K,20241231.0,2024.0,FY,,,,2771000000.0,,3879000000.0,4418000000.0,19140000000.0,,17031000000.0,126724000000.0,0.2594093124302742,0.0348631671980051,,,6.440784451881862,0.2308254963427377,0.1510368990877813,True,High Risk,AFL,94.84190476190474,106.14816326530612,Low Risk
