adsh,cik,name,countryba,stprba,cityba,accepted,form,period,fy,fp,Accounts Payable (Current),Accounts Receivable (Current),Accrued Liabilities (Current),Accumulated Depreciation/Amortization,Additional Paid-in Capital,Amortization of Intangibles,Cash From Ops,Net Income,Revenue,Share-based Compensation Expense,Shareholder Equity,Total Assets,ROE,ROA,ROI,Current Ratio,Debt to Equity,Profit Margin,Asset Turnover,Risk Flag,Risk Category,Ticker,AvgPrice_2021,AvgPrice_2022,Performance
0000002488-22-000016,2488,ADVANCED MICRO DEVICES INC,US,CA,SANTA CLARA,2022-02-03 17:23:00.0,10-K,20211231.0,2021.0,FY,468000000.0,2066000000.0,2424000000.0,,11069000000.0,,3521000000.0,2490000000.0,,197000000.0,9963000000.0,12419000000.0,0.2499247214694369,0.2004992350430791,0.2083507656263074,4.414529914529915,0.2465120947505771,,,True,High Risk,AMD,101.14585317460318,90.88764940239044,High Risk
0000002969-22-000010,2969,AIR PRODUCTS & CHEMICALS INC /DE/,US,PA,ALLENTOWN,2022-02-04 10:32:00.0,10-Q,20211231.0,2022.0,Q1,,1693800000.0,,,1112000000.0,,774700000.0,560400000.0,0.0,16800000.0,13539700000.0,800600000.0,0.0413893956291498,0.699975018735948,,,-0.940870181761782,,0.0,True,High Risk,APD,283.9978968253968,257.3899203187251,High Risk
0000003499-22-000004,3499,ALEXANDERS INC,US,NJ,PARAMUS,2022-02-14 08:19:00.0,10-K,20211231.0,2021.0,FY,,,,,,,78066000.0,41939000.0,226350000.0,,285092000.0,1391965000.0,0.1471068988256422,0.0301293495166904,,,3.8825116102872057,0.18528385244091,0.1626118472806428,True,High Risk,ALX,272.43547619047615,240.78386454183266,High Risk
0000003570-22-000024,3570,CHENIERE ENERGY INC,US,TX,HOUSTON,2022-02-23 21:37:00.0,10-K,20211231.0,2021.0,FY,155000000.0,482000000.0,1077000000.0,,,,-232000000.0,0.0,9358000000.0,131000000.0,-191000000.0,35697000000.0,-0.0,0.0,0.0,3.109677419354839,-187.8952879581152,0.0,0.2621508810264167,False,Low Risk,LNG,85.60599206349205,144.3327091633466,Low Risk
0000004127-22-000010,4127,SKYWORKS SOLUTIONS INC,US,CA,IRVINE,2022-02-03 21:04:00.0,10-Q,20211231.0,2021.0,Q3,279400000.0,,,,79600000.0,8000000.0,581700000.0,399900000.0,110000000.0,18800000.0,5493200000.0,8618500000.0,0.0727990970654627,0.0464001856471543,0.0479548152678346,,0.5689397800917498,3.635454545454545,0.0127632418634333,True,High Risk,SWKS,173.4873015873016,109.92262948207173,High Risk
0000004281-22-000004,4281,HOWMET AEROSPACE INC.,US,PA,PITTSBURGH,2022-02-14 16:37:00.0,10-K,20211231.0,2021.0,FY,599000000.0,328000000.0,,,,36000000.0,461000000.0,261000000.0,,,3577000000.0,4663000000.0,0.072966172770478,0.0559725498606047,0.0642224409448818,0.5475792988313857,0.3036063740564719,,,True,High Risk,HWM,31.310555555555553,34.98609561752989,Low Risk
0000004457-22-000011,4457,AMERCO /NV/,US,NV,RENO,2022-02-09 16:10:00.0,10-Q,20211231.0,2022.0,Q3,,,,,,,1376553000.0,537076000.0,82815000.0,,-737571000.0,16588078000.0,-0.7281685424182892,0.0323772289954267,,,-23.4901439996963,6.485250256596028,0.0049924409566919,True,High Risk,UHAL,61.734299603174605,55.79684860557769,High Risk
0000004904-22-000024,4904,AMERICAN ELECTRIC POWER CO INC,US,OH,COLUMBUS,2022-02-24 07:46:00.0,10-K,20211231.0,2021.0,FY,212000000.0,77100000.0,,,,,823400000.0,,0.0,57900000.0,22433200000.0,4389500000.0,,,,0.3636792452830188,-0.8043301891838882,,0.0,True,High Risk,AEP,84.63003968253969,95.10517928286852,Low Risk
0000004962-22-000008,4962,AMERICAN EXPRESS CO,US,NY,NEW YORK,2022-02-11 15:42:00.0,10-K,20211231.0,2021.0,FY,,,,,,54000000.0,7173000000.0,3135000000.0,,247000000.0,22177000000.0,53000000000.0,0.1413626730396356,0.0591509433962264,,,1.3898633719619429,,,True,High Risk,AXP,156.90920634920633,161.19446215139442,Low Risk
0000004977-22-000058,4977,AFLAC INC,US,GA,COLUMBUS,2022-02-23 17:18:00.0,10-K,20211231.0,2021.0,FY,,,,,2410000000.0,,5051000000.0,24000000.0,22147000000.0,,0.0,41945000000.0,,0.0005721778519489,,,,0.0010836682169142,0.5280009536297533,True,High Risk,AFL,53.36238095238095,61.85410358565738,Low Risk
