Ticker,adsh,cik,name,countryba,stprba,cityba,accepted,form,period,fy,fp,Accounts Payable (Current),Accounts Receivable (Current),Accrued Liabilities (Current),Additional Paid-in Capital,Amortization of Intangibles,Cash From Ops,Net Income,Revenue,Share-based Compensation Expense,Shareholder Equity,Total Assets,ROE,ROA,ROI,Current Ratio,Debt to Equity,Profit Margin,Asset Turnover,Risk Flag,Risk Category,AvgPrice_2024,AvgPrice_2025,Performance,Predicted Behavior
CPRX,0000950170-25-027714,1369568,"CATALYST PHARMACEUTICALS, INC.",US,FL,CORAL GABLES,2025-02-26 16:06:00.0,10-K,20241231.0,2024.0,FY,14795000.0,53514000.0,61268000.0,,1098000.0,116047000.0,83079000.0,500000.0,1600000.0,206831000.0,470114000.0,0.4016757642713133,0.176720965553036,0.1824632839833171,3.617032781345049,1.2729378091291923,166.158,0.001063571814496,False,Low Risk,17.703690476190477,22.86530612244898,Low Risk,Growth
ATMU,0001921963-25-000029,1921963,ATMUS FILTRATION TECHNOLOGIES INC.,US,TN,NASHVILLE,2025-02-21 15:26:00.0,10-K,20241231.0,2024.0,FY,236600000.0,246800000.0,,,,165700000.0,170400000.0,392500000.0,0.0,427600000.0,1088600000.0,0.3985032740879326,0.1565313246371486,0.2,1.0431107354184277,1.5458372310570627,0.434140127388535,0.3605548410802866,False,Low Risk,31.968373015873016,37.89285714285714,Low Risk,Growth
SEIC,0000350894-25-000028,350894,SEI INVESTMENTS CO,US,PA,OAKS,2025-02-20 14:39:00.0,10-K,20241231.0,2024.0,FY,10618000.0,501434000.0,318945000.0,1404962000.0,12580000.0,566119000.0,475467000.0,1991037000.0,39403000.0,1246608000.0,2520003000.0,0.3814085903507758,0.1886771563367186,0.1894755089394413,47.2249011113204,1.0214879095914675,0.2388036987760649,0.7900931070320154,False,Low Risk,69.75761904761904,79.32295918367346,Low Risk,Growth
SMLR,0001554859-25-000011,1554859,"SEMLER SCIENTIFIC, INC.",US,CA,SANTA CLARA,2025-02-28 16:32:00.0,10-K,20241231.0,2024.0,FY,402000.0,3884000.0,4502000.0,,,21330000.0,20583000.0,68184000.0,944000.0,55676000.0,78065000.0,0.3696925066455923,0.2636648946390828,0.2650296795127667,9.661691542288557,0.4021301817659314,0.3018743400211193,0.8734259911612118,False,Low Risk,36.268253968253966,42.42989795918368,Low Risk,Growth
TER,0000950170-25-023784,97210,"TERADYNE, INC",US,MA,NORTH READING,2025-02-20 09:56:00.0,10-K,20241231.0,2024.0,FY,180131000.0,422124000.0,,100800000.0,19333000.0,577923000.0,715501000.0,3155045000.0,48228000.0,2562444000.0,3501252000.0,0.2792260045487823,0.2043557561695073,0.2154396060848129,2.343427838628554,0.3663721041318366,0.2267799666882722,0.9011190854014508,False,Low Risk,121.2631746031746,98.13061224489796,High Risk,Growth
WSO,0001193125-25-041730,105016,WATSCO INC,US,FL,COCONUT GROVE,2025-02-28 13:01:00.0,10-K,20241231.0,2024.0,FY,369396000.0,797832000.0,242351000.0,1153459000.0,4709000.0,571964000.0,601167000.0,7274344000.0,28821000.0,2229839000.0,3729182000.0,0.2696010788222827,0.1612061304597093,0.1789301461462129,2.159828476756652,0.6723996665230091,0.0826420911631344,1.950654057645886,False,Low Risk,462.2151587301588,487.9591836734694,Low Risk,Growth
TGNA,0000950170-25-029076,39899,TEGNA INC,US,VA,TYSONS,2025-02-27 16:18:00.0,10-K,20241231.0,2024.0,FY,114950000.0,624445000.0,,27941000.0,59882000.0,812151000.0,630469000.0,416300000.0,30481000.0,2519906000.0,7000057000.0,0.2501954437983004,0.0900662666032576,0.0915699639816781,5.432318399304045,1.7779040170546043,1.5144583233245257,0.0594709443080249,False,Low Risk,15.27277777777778,17.5134693877551,Low Risk,Growth
CTSH,0001058290-25-000017,1058290,COGNIZANT TECHNOLOGY SOLUTIONS CORP,US,NJ,TEANECK,2025-02-12 16:47:00.0,10-K,20241231.0,2024.0,FY,337000000.0,3849000000.0,,,184000000.0,2568000000.0,2290000000.0,19428000000.0,261000000.0,11991000000.0,18483000000.0,0.1909765657576515,0.1238976356652058,0.1261986112641904,11.421364985163205,0.5414060545409057,0.1178711138562898,1.0511280636260347,False,Low Risk,74.23595238095238,78.90714285714286,Low Risk,Growth
RDVT,0000950170-25-029184,1720116,"RED VIOLET, INC.",US,FL,BOCA RATON,2025-02-27 16:55:00.0,10-K,20241231.0,2024.0,FY,1631000.0,7135000.0,,,8119000.0,15071000.0,13529000.0,60204000.0,5386000.0,71093000.0,92990000.0,0.1903000295387731,0.1454887622324981,0.1480861217832944,4.374616799509504,0.3080050075253541,0.2247192877549664,0.6474244542423917,False,Low Risk,24.82428571428571,38.973775510204085,Low Risk,Growth
WERN,0000793074-25-000009,793074,WERNER ENTERPRISES INC,US,NE,OMAHA,2025-02-26 16:06:00.0,10-K,20241231.0,2024.0,FY,135990000.0,444944000.0,30282000.0,134894000.0,6100000.0,448711000.0,241256000.0,3289978000.0,4690000.0,1327550000.0,3157936000.0,0.18173025498098,0.0763967350826616,0.0798346495933415,3.2718876387969704,1.378769914504162,0.0733305815418826,1.0418127536466857,False,Low Risk,37.91075396825397,31.19265306122449,High Risk,Growth
