,importance
proba_2025_Stability,0.12895447
proba_2021_Stability,0.106243044
proba_2022_Stability,0.0928482
proba_2024_Stability,0.091711566
proba_2024_Decline,0.060525812
proba_2022_Decline,0.05880205
proba_2025_Growth,0.05465285
proba_2024_Growth,0.051549867
proba_2022_Growth,0.044967785
proba_2025_Decline,0.04382819
proba_2021_Growth,0.03910357
Debt to Equity,0.03649316
proba_2021_Decline,0.031701926
Profit Margin,0.030355256
ROI,0.029718982
ROE,0.027571358
Cash From Ops,0.025874093
Revenue,0.023935033
Current Ratio,0.02116278
